Português	Tupi Antigo
Ah, que velhaco!	Angaîpaba maniîabo mã!
Afastai-vos daquele que eu guardo!	Pepo'i xe remiarõ suí!
Hoje, assim, de modo nenhum nos impedem nossa estada	Kori, nã, îandé rekó îandé moarûapa angá
Que a gente honra ao erguer o padre o cálice da missa?	Mba'epe asé oîmoeté abaré itaîukamusi rupireme?
Por que, quando os inimigos cercam tua terra, o dia todo e a noite toda, estás preocupando-te com eles, não dormindo?	Marãnamo-pakó tobaîara nde retama pîareme ko'arapukuî pysaré ereîkó sesé enhemosako'îabo, ekere'yma?
Mas não tentam esses aprender sempre?	N'osa'angi-te-p'akó nhembo'e ko'arapukuî?
Descasquei-o	Aîape'ok
Embelezando-te totalmente	Opabĩ nde momoranga
Eu tenho bom abrigo, eu estou bem abrigado	Xe 'ang - Eu tenho abrigo, eu estou abrigado Xe 'ãngatu
Onde está meu caminho?	Umãpe xe raperama?
maltratar a seu próximo	o apixara rerekoaíba
Que coisas, pois, eu fiz hoje?	Marã-marã-pakó îeí xe rekóû?
Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?	Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?
Detesto a vida má	Aroŷrõ tekó-poxy
Morrendo, chegamos ao fim	Oropab oromanõmo
Os que estão achegados a ti	Nde resé serosypyra
Que tu dês para nós teu belo filho	Nde t'ereîme'eng orébo nde membyporanga
Evita ir	Eteumẽ esóbo
óleo de peixe	pirá-nhandy
Lembrando-se dele assim que acorda	Opaka bé sesé o ma'enduaramo
Jesus, senhor da virtude	Îesu, tekokatu îara
Ai, que enfadonho és tu, de fato!	Tekatunheté rakûé endé hegûy!
Eu sou gago	Xe nhe'ẽrueru
Reatei-o	Aîapytĩatã
Na verdade, ver-me-ás futuramente estar sentado ao lado da mão direita de Deus-Pai	Anheté pesepîak irã Tupã tuba 'ekatûaba koty xe gûapyka xe renane
Vem para ver tua futura terra	Eîori nde retamûama repîaka
Eu sou amarelo	I îub - Ele é amarelo Xe îub
Mulheres, além de velhos, meninos e até meninas	Kunhã, marandé tunhaba'e, kunumĩ, kunhataĩ tiruã
sobre a pedra	itá sosé
Tu te alegras quando um homem apalpa teus seios?	Nde rorype nde kama abá sungáreme?
O próprio Deus, com sua santidade, as almas e os corpos deles fez	Tupã aé, o karaíba pupé, i 'anga seté monhangi
Envolvendo seu rosto com véus	Aobybĩ pupé sobá ubana
cara ruim, mau humor	tobasy
Que perguntem ao padre ao se confessarem	T'oporandu abaré supé o nhemombegûápe
Detestando-os mais que tudo o que se deve detestar neste mundo	Seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé
Será que é um morcego, uma borboleta ou uma cuíca?	Andyrá ruãpe é, panama koîpó gûaîkuíka?
Todos cercaram Nosso Senhor, achegando-se a ele	Opá Îandé Îara moîari sesé osyka
ir para a guerra	marãmonhangápe só
Devolveu seu pagamento aos príncipes	Oîme'eng-îeby sepypûera morubixabetá supé
Um ou outro, porventura, foi mau, às vezes	Oîepé-ĩombé, nipó, i angaîpab amõme é
(o) muito maior (superlativo)	tubixabeté
Não pode outra pessoa batizar em vez do padre?	Nd'e'ikatuîpe amoaé abá oporomongaraípa abaré suí?
Oxalá agora alguma pessoa, habitante do fogo do inferno, levantasse aqui na nossa multidão	Temone ko'yr Anhanga ratá pora, abá amõ opu'ama iké îandé re'yîpemo
Trava-me a língua esta fruta	Xe apekũ-mombyk ikó 'ybá
armação de fios, roca de fiar	inimbó-'yba
Fi-lo suar	Asyaîká
Não falto à igreja	N'aîmopanemi tupãoka
seu próprio corpo incorrupto	gûeté-marane'yma
Mas sempre, com certeza, a vossas almas querem bem, guiando-as	Memẽ-te, nipó, pe 'anga amotá, i pokoka
pé de algodão, algodoeiro	amynyîu-'yba
Eis que estava de cor um tanto preta, certamente	Moroún-mbyry nakó
arraia pitoca	Îabebyrasyka
Faze-me tu valente, para que eu me oponha ao maldito, para sempre vencendo-o	Xe mopyatã îepé, t'apu'am muru resé, aûîérama i moaûîébo
casarão, casa grande	okusu
Veio um grande chefe de longe para te procurar	Oú tubixá-katu mamõ suí nde reká
Quando o sol estava no alto de nossas cabeças, eu vim	Asé 'apyterype 'ara ruî - No alto de nossas cabeças o sol está Îandé 'apytera 'arybo 'ara rume, xe ruri
Os homens batem nele à tua vista	Sesé abá pûari nde resápe nhẽ
Vais em busca de meu pai?	Xe ruba supépe eresó?
A gente se inclina para os santos que estão no céu também?	Oîerokype asé santos ybakypendûara supé bé?
ao amanhecer	ko'ẽme
Fizeste o pajé ser feiticeiro, acreditando nele?	Ereîmoupixûarype paîé, serobîá?
empenadura de flecha, isto é, penas de asas de pássaros que eram atadas às flechas	u'upepó
Tu fizeste mexericos, contando as palavras de teu próximo?	Nde mba'epûerype, nde rapixarĩ nhe'engûera mombegûabo?
Lacei a perna dele	Asetymã-maman
O que supõe saber as coisas	I mba'e-kuá-mo'anga'uba'e
Zune como o vento, tremendo por causa de sua bravura	Ybytu îabé osunung, i abaeté suí osyîa
Tosta alguma farinha	Esapek u'i amõ
Constituímos-te chefe	Oromoingó tubixabamo
Logo eu estou feliz	Koromõ xe rorybamo
Pegou-se fortemente sua roupa com que ele foi castigado por o ficarem ferindo?	Oîaratã serã i aoba i nupãsagûera i moperé-perebagûera resé?
Pode alguém beber cauim?	E'ikatupe abá okagûabo?
Quais são os nomes da Santíssima Trindade?	Marã-marãpe Santíssima Trindade rera?
Eu tenho fala rápida	Xe nhe'ẽ-mby'i
o que perverte uma casada	mendara momoxysara
Dois filhotes de pomba sua mãe levou como oferenda	Mokõî pykasu ra'yra i xy ogûerasó îetanongabamo
Por causa de minha imensa formosura, Deus revelar-se-á a mim	Xe aysó-matueté resé é, Tupã îepîakukari xebene
Vou atrás dele	Sakypûeri asó
Dizendo a um canto de pássaro ou a um urro de onça que são agouros	Gûyrá koîpó îagûara nhe'enga supé morangygûana o'îabo
Para ele trouxeram, como oferendas, ouro, incenso e mirra	I xupé ogûeru îetanongabamo itaîuba, ysykatã syapûãba'e, mirra
Eis que estou à vista de Deus	Tupã resápe ã xe rekóû
És tolerante com teu próximo ao querer ele trabalhar nos feriados?	Ereîmborype nde rapixara 'aretéreme i porabyky-potareme?
e portanto	emonãnamo é
Tendo isso que ele disse, seus discípulos tomaram o pão em suas mãos	Aîpó i 'eagûera rerekóbo, semimbo'e-etá miapé rari o pópe
Aonde chegaram com Nosso Senhor, enfim?	Mamõpe ybŷá Îandé Îara rerobasemi ko'yté?
Ofendeste teu pai?	Ereînhe'engybõpe nde ruba?
Segurei-o fortemente	Aîpysyk-atã
Ali ficai enquanto eu não vos informar acerca de vossa futura volta	Ebapó ta peîkó pe îebyragûama resé ixé nde momorandube'yma pukuî
Fiquei-o apedrejando	Aîapi-api
Aceitaste as palavras deles?	Ereîmorype i nhe'enga?
Mas quem, outrora, como vossas coisas os índios deu?	Abá-tepe, erimba'e, pe mba'erama resé apŷaba me'enga'ubi?
Que tipo de coisa será que é isto?	Marãba'ep'iã ri?
Ferrei-o	Aîpyapasamoín
Quereis que eu solte para vós a Jesus, vosso rei?	Peîpotápe Îesus pe rubixaba ixé i mosema peẽme?
quando ele peida	sepynõneme
Assim como a nós, Deus vê as minúcias de todas as coisas	Îandé îá, Tupã opakatu mba'e rasapy-epîaki
o que escurece roupas, o tintureiro	aó-moundara
Eu tenho inclinação a me irritar	Xe nhemoŷrõndûer
Não serão somente poucos anos, mas para sempre	Na mboby nhõ ruã akaîu-'aîubane aûîeramanhẽ-te
Pão que porta a vida para os amigos de Deus	Miapé tekobé îara Tupã raûsupara pé
O laço está quedo O pássaro é que vai dentro dele, caindo	Îusana oĩ nhote Gûyrá aé osó i pupé, o'á
É algum tanto grande	Turusu-pyryb
Algo semelhante a um navio	Ygarusu nungara
beco ou rua estreita	onhoba'ũ-mirĩ
o que é (ou deve ser) convidado	i xo'opyra
Esse homem e sua esposa também fizeram acabar todas as suas riquezas	Kó abá semirekó abé opá o mba'e mombabi
A gente confessa totalmente, de costume, seus próprios pecados?	Oîmombe'u pakatupe amẽ asé o angaîpagûera?
Nas minhas costas levei-o	Xe aseî arasó
o que tem beiço grande	sembegûasuba'e
na ponta, na extremidade	apyri
Tua alma está muito branca, como roupa lavada	Morotĩngatu nde 'anga, aoba i potukapyra rame'ĩ
faval, plantação de favas	komandagûasu-tyba
Picar-me-ia o marigui	- Xe su'umo marigûi
Eu tenho olhos zarcos	Xe resá-îub
minhas palavras engasgadas	xe nhe'ẽ-pa'ama
Sou desprezível	Aîkomemûã
Engolir-me-á por aí alguma cobra grande	Xe mokõ kûepe mboîusu amõne
Vituperaste pelas costas a teu pai, a teu mestre?	Ereîkupeanga'ope nde ruba, nde mbo'esara?
Os homens esvaziam as cuias	Oîmboapy abá kuîaba
O que não recebe a Deus (isto é, não comunga) a cada Quaresma	Îekuakubusu îabi'õ Tupã ogûare'ymba'e
Riscaram todo o teu corpo com ferro pontiagudo	Opá nde reté raíri itatiãîa pupé
Que sejais futuramente os que terão a verdadeira felicidade na nossa terra prometida	Ta peîkó irã mba'ekatu-eté rerekoaramo îandé retãme'engápe
Corta-o pela sua base (isto é, cerce)	Iî aŷpy rupi eîasy'ab
Sou inimigo das pessoas	Morobaîaramo aîkó
Que disseram seus adversários, indo?	Marã e'ipe supîarûera osóbo?
Quando era ele rei, foi maltratado	Morubixabamo sekóreme serekomemûãmbyramo sekóû
Não pode o que não é padre fazer as coisas assim?	Nd'e'ikatuîpe abaréramo oîkoe'ymba'e emonã tekó monhanga?
Teu costumeiro desejo sensual não se separava verdadeiramente de ti	Nde poropotarixûera nd'o'ir-etéî nde suí
Eis que era costume, então, dar nome às pessoas	Ã tekó a'ereme moreroka
Tiveste relações com uma virgem também?	Ereîkópe kûare'ymano resé?
Faço intervalos em minhas entradas na igreja (isto é, entro uma vez sim, outra não)	Aîmopa'ũ-pa'ũ nhote Tupãokype xe reîké
Aparei as pontas deles	Aîapyr-etab
Que fez Deus outrora com nosso pai primeiro por causa de seu proceder assim?	Marãpe erimba'e Tupã îandé rubypy rerekóû emonã sekoagûera ri?
neste vale, lugar de chorar	ikó ybytygûaîa îasegûaba pupé
sineta de mão, sinozinho manual, campainha	itamaraká-mirĩ
Antecipei (ou atalhei) sua fala	Aînhe'engenondear
Eu sou malhado na cabeça	Xe 'apititing
Tu tiveste excitação com teu amante?	-Nde regûyrõpe nde agûasá resé?
Preferiam outrora as pessoas que as matassem?	Oîpotarĩ-p'amẽ abá erimba'e o îuká?
Tomaste o animal que a onça matou?	Ereîápe so'o îagûara remiîukapûera?
não há de ser (futuro)	aani-xûé ipóne
Fá-lo sofrer o frio	Îaîmomboreaûsu ro'y
por um triz que não	-sûerĩ
Mostrando sua própria beleza mais que o sol	Kûarasy sosé o poranga kuabe'enga
Ainda bem que não fui, pois	Aûîeté pakó xe soe'ymi é
Eu estou úmido	Xe akymaíb
Eu sobrei	Xe rembyrûer
Eis que ontem trucidei gente, matando europeus	Kûeîsé kó aporapiti, aîuruîuba îukábo
Como o trataram ao dizer ele isso?	Marãpe ybŷá serekóû aîpó i 'ereme?
Hei de comer hoje seus braços, Caburé, suas pernas	T'a'u kori i îybapûera, Kaburé, setymãmbûera
cabelos arrepiados e desgrenhados	a-tyrá-bebó
Fazendo-o transformar-se em seu próprio sangue	Og ugûyramo i monhemonhanga
Que o faça perdoar a nós	T'omoîerekûab orébo
Odeiam-te, expulsar-te-ão	Nde reroŷrõ, nde mombóne
Eis aqui minha grande muçurana	Kó xe musuranusu
Eu não estou doente	Na xe marani
de acolá, dali	amõ suí
mãos entorpecidas	pó-e'õ
Fui defecar	Ka'ape asó
Deus te fez viver, guardando-te, não somente por uma semana, não somente por um ano, mas por muitos anos	Nde moingobé Tupã, nde rerekóbo n'oîepé îasy nhõ ruã, n'oîepé seîxu nhõ ruã, setá nhẽ seîxu-te
Por ele fazer a defesa do amor a Jesus Cristo, mataram-no	Îesu Cristo raûsuba resé i îepirapûaneme, bŷá i îukáû
Falando primeiro a seus filhos, que divide (isto é, os bons dos maus)	Ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga
o que é (ou deve ser) enforcado	i îubykypyra
Eu hoje (quero) o lombo deles	Xe kori i pyîaso'o
Não oporão resistência um ao outro	N'onherani xûéne o îoupéne
Estou deitado de bruços	Oobapybo aîub
Atraíste alguma mulher para junto de teu próximo?	Ereîmonharõpe kunhã amõ nde rapixara pyri?
Pondo-o dentro de um túmulo de pedra	Itá karamemûã pupé i mondepa
Dançaram a noite toda, fazendo feitiçarias	Oporaseî pysaré, oîemopaîeangaípa
à vista dele	sobábo
Disse isso conhecendo o futuro esmagamento dos habitantes daquela cidade chamada Jerusalém	Akûeî tabusu Îerusalém 'îaba pora mombebaûama kuapa nhẽ aîpó i 'éû
Usaste feitiço para que não viessem?	Mosangape ereîpuru ture'ymagûama ri?
Que chegue logo ao lugar de o matarem	T'obasem esapy'a o îukaûãme
Eu mesmo fiz assim	Ixé aé emonã aîkó
Para o inferno	-A'epe i 'anga mamõ i xóû? -Anhanga ratápe - E sua alma para onde foi?
A ti é que matam?	Ndepe nde îuká?
o que é igual a algo ou a alguém	îandûara
Vós me matais	Xe îuká peîepé
Tu te permitiste cobri-la, sendo tua parenta?	Ereîeîopyk-ukarype nde maranungaramo?
Qual é o modo verdadeiro de chamar os batizados?	Marãpe i mongaraibypyramo renõîndabeté?
mulher de baixa estatura	kunhã-mirĩ
Em tuas mãos sentando-se, vai o menino, por Deus-Pai fazendo-te curvar a cabeça	Nde pópe ogûapyka, osó kunumĩ, Tupã Tuba ri nde reroîeaŷbyka
Cuidado ao esconder-lhe o que faz	Tîaté i mĩme i xupé marã oîkóbo
Eu sou de bom semblante	Xe resakûanhyrõ
Havemos de chegar ao céu, ao lugar em que tu te revelas	T'orobasẽne ybakype nde îepîakukasápe
Com uma lança de ferro espetou seu flanco, estourando suas entranhas	Itamina pupé iî yké kutuki, i nhy'ã moboka
Desembarcando seu senhor na própria cachoeira	O îara opeá ytupe é
cunha de fender lenha	îepe'a-kasaba
Que as veja logo	T'asepîak taûîé!
Rejo pessoas	Aporoerekó
Senhor Jesus	Pa'i Îesu
Eia, agora, contai, pois, os impedimentos dele	Pe'ĩ ko'yr sarûaba mombegûabo rõ
Vem, para que recebas a lei deles	Îori, t'ereîá sekó
para além de Lisboa	Lisboa akûeakoty
Que tipo de mulher é Santa Maria?	Marãba'e kunhãpe Santa Maria?
Soltei as peias dos pés dele	Aîpukusamb-ok
O grande chefe Aimbirê, o pervertedor dos índios	Tubixá-katu Aîmbiré, apŷaba moangaîpapara
Que me livre Deus de meus inimigos, em toda parte, em minhas dificuldades	Ta xe pysyrõ Tupã xe sumarã suí kûepe marã xe rekoápe
Perguntou novamente a eles Nosso Senhor?	Oporandu benhẽpe Îandé Îara i xupé?
Como o fogo do diabo o fogo dele é penoso?	Anhanga ratá îabépe satá rasyramo?
Nós nos misturamos	Oroîese'ar
Esse somente é, de fato, teu nome?	Aîpó nhõ-pipó nde rera?
O que tem jeito para ele sou eu	Iî arõana ixé
E aquelas mulheres não resistem, combatendo-os?	A'epe a'e kunhã n'onherani i momarana?
Tu costumas levantar-te diante de teu pai?	Nde pu'amixûé nde ruba pé?
Quem desobedece àquele?	Abápe aîpoba'e oîmomaran?
Observei-o	Asepîakatu
Distribuo-os	Aîma'e'ĩ
Como peregrinos é que a gente mora nesta terra	Ataramo é asé rekóû ikó yby pupé
Conhece o modo pelo qual o padre te tratou ao te batizar	Eîkuab abaré nde mongaraipápe nde rerekoagûera
sobrinho dele	i i'yra → i'yra
miolos de cabeça	a-putu'uma
Hei de levar todos para meu fogo, com seus amigos	T'arasó pá xe ratápe sembiaûsuba resebé
Quando tu vieste, já o tinha matado	Nde rureme aîuká umûan
Pelas minhas costas disseste isso	Xe kupébo aîpó eré
Que retire as coisas más de minha alma, enchendo-a com seu amor	T'ogûenosem mba'e-aíba xe 'anga suí o poroaûsuba resé i moynysema
Hoje mesmo havemos de fazê-lo sumir	Kori bé t'i mokanhẽ
Manifestou-se a eles, somente, alegrando-os	Oîepîakukar i xupé nhõ i moesãîa
Tonsurei-o	Aîmoapytereb
Que fazes?	Marãpe ereîkó?
Não cometas furto	Emondarõ umẽ
Sem trabalho, comemoramos este dia	Morabykye'yma kó 'ara îaîmoeté
Fiz-me rapaz	Akakuab
homem liberal	abá-ekoate'yme'yma
Afligiu-se por se ter frustrado sua ida	O sorambûera resé sekotebẽû
Vi-o em meus sonhos	Xe posaûsupe asepîak
Ele sempre vai	Memẽ nhẽ i xóû îepi
Fizeste resguardo por causa do parto de tua mulher?	Ereîekuakupe nde remirekó membyrara resé?
Sei mais que tu	Aîkuab-eté nde suí
Pus entradas no rosto dele	Asobagûá-moín
Sou feito	Aîemonhang
Sua remissão foi meu encargo	Sepyrama xe pûaîtaba
Ah, ai de mim, o fogo do diabo sofrerei para sempre!	Ixé tekatuete'ĩ ra'u, Anhanga ratá aîporará aûîeramanhẽne mã!
Os moradores da aldeia, velhos, velhas, moços, homens, moças, como meus súditos todos em minhas mãos os tenho	Tapiîara, tuîba'e, gûaîbĩ, kunumĩgûasu, apŷaba, kunhãmuku, xe boîáramo pabẽ xe pópe arekó-katu
Serão muitos os fatos que assustarão as pessoas	Setá tekó oporomondyîba'ene
Sua busca de gente nas pessoas das mulheres	Kunhã ri i moreká
Eu sou mocho	Xe aterẽ
Castigar os que procedem mal	Oîkó-memûãba'e renonhena
Reritiba, minha terra, aldeia muito boa	Rerityba, xe retama, tabangaturãngatu
pescaria com puçá-guaçu	pysagûasu-eîtykaba
Ele está muito maduro	I apaîé - Ele está maduro I apaîegûasu
Eu estou-me homiziando, eu estou vivendo fugido	Xe tekoaraibor gûitekóbo
Mostra-se com firmeza, está fixo	Ten e'i
Desvirginaste alguma menina?	Eresugûykápe kunhataĩ amõ?
E não confessando ser parente verdadeira de seu marido, que acontece?	A'epe o mena mũetéramo sekó mombe'ue'yma, marã?
Não houve sangue em teu parto	N'i tybi tugûy nde membyrasápe
O vício atiramos fora	Tekoaíba oromombó
Estraguei-a	Aîmoaikatu
Não me acostumei	N'aîepokuabi
Sinto que tu queres ir para o fogo do diabo	Anhandub Anhanga ratápe nde só-potara
Cuspi-o	Anhomun
E os que bebem cauim, como ficam? Não transgridem a palavra de Deus?	Kagûarape marã? Nd'oîabyîpe Tupã nhe'enga?
o que é de cada dia, coisa cotidiana	îepimemẽndûara
Eu sou destro	Xe poîabab
Eu tenho um buraco grande	Xe kûarusu
mulher viúva	kunhã-mene'õ
Não vamos, ela nos castiga, fazendo-nos saltar no fogo	Îasó umẽ, îandé nupã, tatápe îandé mombómo
O cauim transbordante nas igaçabas, depois disso, atrai-os	Ygasápe kaûĩ-tuîa, a'e ré, îamomotá
Lacei a perna dele	Aîpukuîurar
Por que a gente põe a cruz na testa?	Marãnamope asé o sybápe îoasaba moíni?
Eu tenho dores de parto	Xe membyrasy
Acovardo-me	Amembek
Para bem pagarmos nós a transgressão da palavra de Deus	Tupã nhe'engabŷagûera îandé i moepykatûagûama resé
Está molestando as pessoas	Oporomoaîu oîkóbo
Pode certamente (contá-lo) para quem o repreenderá	E'ikatu ipó senonhẽndarama supé é
